Abbreviation,Description,Neutral formula,Charged formula,Charge,Compartment,KEGG ID,PubChem ID,ChEBI ID,InChI string,SMILES,HMDB ID
1-KETO-2-METHYLVALERATE_Dark_p_M1,1-KETO-2-METHYLVALERATE_Dark_p,,,,,,,,,,
1-KETO-2-METHYLVALERATE_Dark_p_M2,1-KETO-2-METHYLVALERATE_Dark_p,,,,,,,,,,
1-KETO-2-METHYLVALERATE_Light_p_M1,1-KETO-2-METHYLVALERATE_Light_p,,,,,,,,,,
1-KETO-2-METHYLVALERATE_Light_p_M2,1-KETO-2-METHYLVALERATE_Light_p,,,,,,,,,,
1-L-MYO-INOSITOL-1-P_Dark_c_M1,1-L-MYO-INOSITOL-1-P_Dark_c,,,,,,,,,,
1-L-MYO-INOSITOL-1-P_Dark_c_M2,1-L-MYO-INOSITOL-1-P_Dark_c,,,,,,,,,,
1-L-MYO-INOSITOL-1-P_Light_c_M1,1-L-MYO-INOSITOL-1-P_Light_c,,,,,,,,,,
1-L-MYO-INOSITOL-1-P_Light_c_M2,1-L-MYO-INOSITOL-1-P_Light_c,,,,,,,,,,
1-O-SINAPOYL-BETA-D-GLUCOSE_Dark_c_M1,1-O-SINAPOYL-BETA-D-GLUCOSE_Dark_c,,,,,,,,,,
1-O-SINAPOYL-BETA-D-GLUCOSE_Dark_c_M2,1-O-SINAPOYL-BETA-D-GLUCOSE_Dark_c,,,,,,,,,,
1-O-SINAPOYL-BETA-D-GLUCOSE_Light_c_M1,1-O-SINAPOYL-BETA-D-GLUCOSE_Light_c,,,,,,,,,,
1-O-SINAPOYL-BETA-D-GLUCOSE_Light_c_M2,1-O-SINAPOYL-BETA-D-GLUCOSE_Light_c,,,,,,,,,,
10-FORMYL-THF_Dark_c_M1,10-FORMYL-THF_Dark_c,,,,,,,,,,
10-FORMYL-THF_Dark_c_M2,10-FORMYL-THF_Dark_c,,,,,,,,,,
10-FORMYL-THF_Dark_p_M1,10-FORMYL-THF_Dark_p,,,,,,,,,,
10-FORMYL-THF_Dark_p_M2,10-FORMYL-THF_Dark_p,,,,,,,,,,
10-FORMYL-THF_Light_c_M1,10-FORMYL-THF_Light_c,,,,,,,,,,
10-FORMYL-THF_Light_c_M2,10-FORMYL-THF_Light_c,,,,,,,,,,
10-FORMYL-THF_Light_p_M1,10-FORMYL-THF_Light_p,,,,,,,,,,
10-FORMYL-THF_Light_p_M2,10-FORMYL-THF_Light_p,,,,,,,,,,
13-HYDROXY-MAGNESIUM-PROTOPORP_Dark_p_M1,13-HYDROXY-MAGNESIUM-PROTOPORP_Dark_p,,,,,,,,,,
13-HYDROXY-MAGNESIUM-PROTOPORP_Dark_p_M2,13-HYDROXY-MAGNESIUM-PROTOPORP_Dark_p,,,,,,,,,,
13-HYDROXY-MAGNESIUM-PROTOPORP_Light_p_M1,13-HYDROXY-MAGNESIUM-PROTOPORP_Light_p,,,,,,,,,,
13-HYDROXY-MAGNESIUM-PROTOPORP_Light_p_M2,13-HYDROXY-MAGNESIUM-PROTOPORP_Light_p,,,,,,,,,,
