Abbreviation,Description,Reaction,GPR,Genes,Proteins,Subsystem,Reversible,Lower bound,Upper bound,Objective,Confidence Score,EC Number,Notes,References
1.1.1.34-RXN_Dark_c_M1,1.1.1.34-RXN_Dark_c,3-HYDROXY-3-METHYL-GLUTARYL-COA_Dark_c_M1 + 2.0 NADPH_Dark_c_M1 --> CO-A_Dark_c_M1 + MEVALONATE_Dark_c_M1 + 2.0 NADP_Dark_c_M1,,,,,0,0,1000,0,,,,
1.1.1.34-RXN_Dark_c_M2,1.1.1.34-RXN_Dark_c,3-HYDROXY-3-METHYL-GLUTARYL-COA_Dark_c_M2 + 2.0 NADPH_Dark_c_M2 --> CO-A_Dark_c_M2 + MEVALONATE_Dark_c_M2 + 2.0 NADP_Dark_c_M2,,,,,0,0,1000,0,,,,
1.1.1.34-RXN_Light_c_M1,1.1.1.34-RXN_Light_c,3-HYDROXY-3-METHYL-GLUTARYL-COA_Light_c_M1 + 2.0 NADPH_Light_c_M1 --> CO-A_Light_c_M1 + MEVALONATE_Light_c_M1 + 2.0 NADP_Light_c_M1,,,,,0,0,1000,0,,,,
1.1.1.34-RXN_Light_c_M2,1.1.1.34-RXN_Light_c,3-HYDROXY-3-METHYL-GLUTARYL-COA_Light_c_M2 + 2.0 NADPH_Light_c_M2 --> CO-A_Light_c_M2 + MEVALONATE_Light_c_M2 + 2.0 NADP_Light_c_M2,,,,,0,0,1000,0,,,,
1.10.2.2-RXN_Dark_m_M1,1.10.2.2-RXN_Dark_m,2.0 Cytochromes-C-Oxidized_Dark_m_M1 + UBIQUINOL_Dark_m_M1 --> 2.0 Cytochromes-C-Reduced_Dark_m_M1 + 4.0 Pumped-PROTON_Dark_m_M1 + UBIQUINONE_Dark_m_M1,,,,,0,0,1000,0,,,,
1.10.2.2-RXN_Dark_m_M2,1.10.2.2-RXN_Dark_m,2.0 Cytochromes-C-Oxidized_Dark_m_M2 + UBIQUINOL_Dark_m_M2 --> 2.0 Cytochromes-C-Reduced_Dark_m_M2 + 4.0 Pumped-PROTON_Dark_m_M2 + UBIQUINONE_Dark_m_M2,,,,,0,0,1000,0,,,,
1.10.2.2-RXN_Light_m_M1,1.10.2.2-RXN_Light_m,2.0 Cytochromes-C-Oxidized_Light_m_M1 + UBIQUINOL_Light_m_M1 --> 2.0 Cytochromes-C-Reduced_Light_m_M1 + 4.0 Pumped-PROTON_Light_m_M1 + UBIQUINONE_Light_m_M1,,,,,0,0,1000,0,,,,
1.10.2.2-RXN_Light_m_M2,1.10.2.2-RXN_Light_m,2.0 Cytochromes-C-Oxidized_Light_m_M2 + UBIQUINOL_Light_m_M2 --> 2.0 Cytochromes-C-Reduced_Light_m_M2 + 4.0 Pumped-PROTON_Light_m_M2 + UBIQUINONE_Light_m_M2,,,,,0,0,1000,0,,,,
1.14.13.36-RXN_Dark_c_M1,1.14.13.36-RXN_Dark_c,4-COUMAROYLQUINATE_Dark_c_M1 + NADPH_Dark_c_M1 + OXYGEN-MOLECULE_Dark_c_M1 --> CAFFEOYLQUINATE_Dark_c_M1 + NADP_Dark_c_M1,,,,,0,0,1000,0,,,,
1.14.13.36-RXN_Dark_c_M2,1.14.13.36-RXN_Dark_c,4-COUMAROYLQUINATE_Dark_c_M2 + NADPH_Dark_c_M2 + OXYGEN-MOLECULE_Dark_c_M2 --> CAFFEOYLQUINATE_Dark_c_M2 + NADP_Dark_c_M2,,,,,0,0,1000,0,,,,
